EMPCT;CONVOCADO;MATRICULADO
40819;S;
13685;S;S
61896;S;S
21020;S;S
37868;S;
67112;S;
61425;S;
25578;S;S
8154;S;S
16842;S;
12423;S;S
13058;S;S
64170;S;
6668;S;S
22813;S;S
5212;S;S
5391;S;
5391;S;S
44007;S;
45036;S;
8468;S;S
2076;S;S
29185;S;
20136;S;
32424;S;
73404;S;
71913;S;
37747;S;
44997;S;
46233;S;
33536;S;
16172;S;S
46340;S;
23670;S;S
21056;S;S
49499;S;S
471;S;S
25388;S;
40803;S;S
31872;S;
20536;S;S
1223;S;S
14516;S;S
56262;S;
43968;S;
44019;S;
37812;S;
37812;S;S
61841;S;
14236;S;
4700;S;S
52181;S;S
43928;S;
61840;S;
33978;S;S
27687;S;S
39333;S;
52716;S;S
39485;S;S
24776;S;S
25269;S;
27831;S;S
1352;S;S
1352;S;
4818;S;S
4818;S;
32407;S;
27686;S;S
34479;S;
3841;S;
58211;S;
47288;S;
5431;S;S
2500;S;S
34482;S;
44179;S;
44119;S;
50331;S;S
39266;S;
23139;S;S
12911;S;
31311;S;
71653;S;
60006;S;
44051;S;S
21031;S;
27620;S;
40801;S;S
42889;S;
31370;S;
44120;S;
48982;S;
46094;S;
34230;S;
45379;S;
4865;S;S
44927;S;
66007;S;
68874;S;
44453;S;
45847;S;S
28208;S;
26703;S;S
33293;S;S
44201;S;S
4882;S;S
66881;S;S
51927;S;S
59839;S;
59839;S;S
45234;S;S
49449;S;
598;S;S
43002;S;
31360;S;
71925;S;
29167;S;
73338;S;S
29520;S;S
42952;S;
43977;S;
44298;S;S
32932;S;
37847;S;S
6686;S;S
24981;S;S
44915;S;
29530;S;
60357;S;S
64462;S;
28270;S;
46543;S;
4754;S;S
15175;S;S
65734;S;
65946;S;S
39577;S;
45109;S;
17081;S;S
28861;S;
69850;S;S
4326;S;
46527;S;
21006;S;S
6698;S;S
66438;S;
13852;S;
43446;S;
48082;S;S
20891;S;S
43969;S;
71585;S;S
60063;S;S
28007;S;S
8103;S;S
57738;S;S
43859;S;
4367;S;S
26777;S;
20134;S;S
14787;S;
8376;S;S
61889;S;
42595;S;
58264;S;S
48883;S;
71841;S;S
48202;S;
61745;S;
61745;S;S
6665;S;S
31236;S;
60299;S;
58233;S;
24302;S;S
13370;S;S
13162;S;S
13697;S;
51380;S;
32543;S;S
39483;S;
27072;S;S
29388;S;
43624;S;
25417;S;
59394;S;S
7422;S;S
13552;S;S
53354;S;
47289;S;
45988;S;
61721;S;S
28166;S;
66561;S;
12489;S;S
53914;S;S
20522;S;
14080;S;
61724;S;
20977;S;
8341;S;
8341;S;S
67940;S;S
20976;S;S
38169;S;S
49770;S;S
18484;S;S
39643;S;
34746;S;
4955;S;
46032;S;
